XSL	Star	RA	DEC	Teff	logg	[Fe/H]e
MD001	LP 731-58	10:48:13.14	−11:20:25.4	2900	5.38	0.22
MD002	LTT 2544	06:24:04.23	−45:56:14.0	3585	4.78	-0.23
MD003	HD 50281B	06:52:17.77	−05:11:23.3	3447	4.84	-0.39
MD004	* 18 Pup B	08:10:34.31	−13:48:51.2	3468	4.84	-0.50
MD005	L 442-13	02:54:03.05	−35:54:54.8	3336	4.87	-0.31
MD006	G 272-119	01:54:21.38	−15:43:50.50	3420	4.85	-0.46
MD007	* omi02 Eri C	04:15:19.91	−07:40:01.3	3018	4.93	-0.14
MD008	G 83-29	04:39:43.27	+09:51:44.3	3346	4.87	-0.65
MD009	HD 31412B	04:55:54.52	+04:40:16.1	3472	4.77	-0.45
MD010	LP 659-4	05:58:17.37	−04:38:01.8	3012	4.99	-0.14
MD011	G 102-4	05:28:56.63	+12:31:52.9	3191	4.88	-0.40
MD012	HD 38529B	05:46:19.22	+01:12:48.9	3428	4.86	-0.30
MD013	G 106-36	06:17:10.54	+05:07:07.3	3262	4.89	-0.53
MD014	HD 46375B	06:33:12.26	+05:27:54.6	3457	4.82	-0.28
MD017	GJ 768.1 B	19:51:01.10	+10:24:36.8	3275	4.87	-0.38
MD018	G 143-35	20:11:12.94	+16:11:11.1	3145	4.91	-0.04
MD020	LP 703-44	23:41:45.13	−05:58:16.7	3255	4.87	-0.41
MD021	V* V645 Cen	14:29:35.66	−62:40:34.0	2900	5.14	-0.02
MD022	HD 125455B	14:19:35.21	−05:09:07.4	3144	4.90	-0.42
MD023	HD 115404B	13:16:52.23	+17:00:59.5	3763	4.77	-0.62
